" 2017년 ","  생활비마련 ","  유흥비마련 ","  도박비마련 ","  허영사치심 ","  치부 "," 이욕 기타 ","  사행심 ","  신고·고소 ","  수사협조 ","  증언 ","  보복 기타 ","  가정불화 ","  호기심 ","  유혹 ","  우발적 ","  현실불만 ","  부주의 ","  기타 ","  미상 "
"  절도 ","1343","992","9","75","11","3315","395"," - "," - "," - "," - ","14","3482","572","5356","53","165","3648","578"
"  장물 ","30","11"," - "," - "," - ","92","22"," - "," - "," - "," - "," - ","57","7","68","1","18","116","21"
"  사기 ","1176","566","67","20","6","1096","153"," - "," - "," - "," - "," - ","142","73","384","8","150","1380","1004"
"  횡령 ","35","13"," - "," - ","1","223","24"," - "," - "," - ","1"," - ","224","34","386","1","39","357","86"
"  배임 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"
"  손괴 "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - ","1","24","64","1","456","26","52","223","107"
"  살인 "," - "," - "," - "," - "," - ","1"," - ","1"," - "," - "," - "," - "," - "," - ","6","1"," - ","7","2"
"  강도 ","44","25","3"," - "," - ","44"," - "," - "," - "," - "," - "," - ","4","4","53"," - "," - ","55","12"
"  방화 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","57"," - ","36","4","2","18","1"
"  성폭력 ","9","12"," - "," - "," - ","65","2"," - "," - "," - "," - "," - ","933","100","817","10","49","767","319"
"  폭행 ","14","13"," - "," - ","2","41","17","1"," - "," - ","4","162","61","9","5089","120","150","2636","3198"
"  상해 ","3","8"," - ","2","2","19","3","3"," - "," - ","10","28","49","12","3820","99","51","2113","297"
"  협박 "," - ","2","1"," - "," - ","5"," - ","1"," - "," - ","4","20","11","4","225","15","10","146","182"
"  공갈 ","106","184","7","1"," - ","242","34"," - "," - "," - ","4"," - ","48","15","345","10","25","453","123"
"  약취와 유인 ","2"," - "," - "," - "," - ","5"," - "," - "," - "," - "," - "," - ","1"," - ","9"," - "," - ","5","1"
"  체포와 감금 ","1"," - "," - "," - "," - ","18"," - ","2"," - "," - "," - ","2","5","1","75","7","3","88","38"
"  폭력행위등(손괴,강요,주거침입등) ","6","2"," - "," - "," - ","6"," - "," - "," - "," - "," - "," - ","81","3","166","3","26","157","25"
"  폭력행위등(단체등의구성, 활동) "," - "," - "," - "," - "," - ","3"," - "," - "," - "," - "," - "," - ","4"," - ","15"," - "," - ","22","2"
"  통화 ","2","2"," - "," - "," - ","4"," - "," - "," - "," - "," - "," - ","1","1","4"," - "," - ","4","2"
"  유가증권인지우표 "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","2","1"
"  문서 ","8","3"," - ","8"," - ","54","25"," - "," - "," - "," - "," - ","517","64","233","7","60","662","115"
"  인장 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - ","3"," - ","1","7","2"
"  직무유기 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","3"
"  직권남용 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"
